2025-02-27 16:03:31,951 - INFO - Ответ 102: 200 {"status":true,"response":{"time":1740661411}}
2025-02-27 16:03:32,223 - INFO - Запрос 103: {'lead_id': '31353063'}
2025-02-27 16:03:32,224 - INFO - Ответ 103: 200 {"status":true,"response":{"time":1740661412}}
2025-02-27 16:03:32,488 - INFO - Запрос 104: {'lead_id': '31353053'}
2025-02-27 16:03:32,488 - INFO - Ответ 104: 200 {"status":true,"response":{"time":1740661412}}
2025-02-27 16:03:32,774 - INFO - Запрос 105: {'lead_id': '31352979'}
2025-02-27 16:03:32,775 - INFO - Ответ 105: 200 {"status":true,"response":{"time":1740661412}}
2025-02-27 16:03:56,218 - INFO - Выбран файл: /home/komandaf5/Загрузки/Merge Rejection Reasons (копия).xlsx
2025-02-27 16:04:05,301 - INFO - Введён URL: https://tglk.ru/in/YXjdztmamHxmEEAl
2025-02-27 16:04:05,517 - INFO - Запрос 1: {'lead_id': '31370129'}
2025-02-27 16:04:05,517 - INFO - Ответ 1: 200 {"status":true,"response":{"time":1740661445}}
2025-02-27 16:04:06,018 - INFO - Запрос 2: {'lead_id': '31362537'}
2025-02-27 16:04:06,019 - INFO - Ответ 2: 200 {"status":true,"response":{"time":1740661445}}
2025-02-27 16:04:06,315 - INFO - Запрос 3: {'lead_id': '31362293'}
2025-02-27 16:04:06,316 - INFO - Ответ 3: 200 {"status":true,"response":{"time":1740661446}}
2025-02-27 16:04:06,584 - INFO - Запрос 4: {'lead_id': '31362205'}
2025-02-27 16:04:06,584 - INFO - Ответ 4: 200 {"status":true,"response":{"time":1740661446}}
2025-02-27 16:04:06,851 - INFO - Запрос 5: {'lead_id': '31362203'}
2025-02-27 16:04:06,851 - INFO - Ответ 5: 200 {"status":true,"response":{"time":1740661446}}
2025-02-27 16:04:07,116 - INFO - Запрос 6: {'lead_id': '31362153'}
2025-02-27 16:04:07,116 - INFO - Ответ 6: 200 {"status":true,"response":{"time":1740661447}}
2025-02-27 16:04:07,383 - INFO - Запрос 7: {'lead_id': '31361959'}
2025-02-27 16:04:07,383 - INFO - Ответ 7: 200 {"status":true,"response":{"time":1740661447}}
2025-02-27 16:04:07,649 - INFO - Запрос 8: {'lead_id': '31361913'}
2025-02-27 16:04:07,649 - INFO - Ответ 8: 200 {"status":true,"response":{"time":1740661447}}
2025-02-27 16:04:07,914 - INFO - Запрос 9: {'lead_id': '31361887'}
2025-02-27 16:04:07,915 - INFO - Ответ 9: 200 {"status":true,"response":{"time":1740661447}}
2025-02-27 16:04:08,184 - INFO - Запрос 10: {'lead_id': '31361885'}
2025-02-27 16:04:08,185 - INFO - Ответ 10: 200 {"status":true,"response":{"time":1740661448}}
2025-02-27 16:04:08,462 - INFO - Запрос 11: {'lead_id': '31361883'}
2025-02-27 16:04:08,462 - INFO - Ответ 11: 200 {"status":true,"response":{"time":1740661448}}
2025-02-27 16:04:08,728 - INFO - Запрос 12: {'lead_id': '31361879'}
2025-02-27 16:04:08,729 - INFO - Ответ 12: 200 {"status":true,"response":{"time":1740661448}}
2025-02-27 16:04:08,990 - INFO - Запрос 13: {'lead_id': '31361387'}
2025-02-27 16:04:08,990 - INFO - Ответ 13: 200 {"status":true,"response":{"time":1740661448}}
2025-02-27 16:04:09,257 - INFO - Запрос 14: {'lead_id': '31361311'}
2025-02-27 16:04:09,257 - INFO - Ответ 14: 200 {"status":true,"response":{"time":1740661449}}
2025-02-27 16:04:09,523 - INFO - Запрос 15: {'lead_id': '31361287'}
2025-02-27 16:04:09,523 - INFO - Ответ 15: 200 {"status":true,"response":{"time":1740661449}}
2025-02-27 16:04:09,807 - INFO - Запрос 16: {'lead_id': '31361087'}
2025-02-27 16:04:09,808 - INFO - Ответ 16: 200 {"status":true,"response":{"time":1740661449}}
2025-02-27 16:04:10,074 - INFO - Запрос 17: {'lead_id': '31361049'}
2025-02-27 16:04:10,074 - INFO - Ответ 17: 200 {"status":true,"response":{"time":1740661450}}
2025-02-27 16:04:10,339 - INFO - Запрос 18: {'lead_id': '31361001'}
2025-02-27 16:04:10,339 - INFO - Ответ 18: 200 {"status":true,"response":{"time":1740661450}}
2025-02-27 16:04:10,601 - INFO - Запрос 19: {'lead_id': '31360971'}
2025-02-27 16:04:10,601 - INFO - Ответ 19: 200 {"status":true,"response":{"time":1740661450}}
2025-02-27 16:04:10,866 - INFO - Запрос 20: {'lead_id': '31360933'}
2025-02-27 16:04:10,866 - INFO - Ответ 20: 200 {"status":true,"response":{"time":1740661450}}
2025-02-27 16:04:11,143 - INFO - Запрос 21: {'lead_id': '31360905'}
2025-02-27 16:04:11,143 - INFO - Ответ 21: 200 {"status":true,"response":{"time":1740661451}}
2025-02-27 16:04:11,415 - INFO - Запрос 22: {'lead_id': '31360897'}
2025-02-27 16:04:11,415 - INFO - Ответ 22: 200 {"status":true,"response":{"time":1740661451}}
2025-02-27 16:04:11,680 - INFO - Запрос 23: {'lead_id': '31360863'}
2025-02-27 16:04:11,681 - INFO - Ответ 23: 200 {"status":true,"response":{"time":1740661451}}
2025-02-27 16:04:11,938 - INFO - Запрос 24: {'lead_id': '31360859'}
2025-02-27 16:04:11,938 - INFO - Ответ 24: 200 {"status":true,"response":{"time":1740661451}}
2025-02-27 16:04:12,204 - INFO - Запрос 25: {'lead_id': '31360857'}
2025-02-27 16:04:12,204 - INFO - Ответ 25: 200 {"status":true,"response":{"time":1740661452}}
2025-02-27 16:04:12,471 - INFO - Запрос 26: {'lead_id': '31360851'}
2025-02-27 16:04:12,472 - INFO - Ответ 26: 200 {"status":true,"response":{"time":1740661452}}
2025-02-27 16:04:12,738 - INFO - Запрос 27: {'lead_id': '31360809'}
2025-02-27 16:04:12,738 - INFO - Ответ 27: 200 {"status":true,"response":{"time":1740661452}}
2025-02-27 16:04:13,020 - INFO - Запрос 28: {'lead_id': '31360767'}
2025-02-27 16:04:13,021 - INFO - Ответ 28: 200 {"status":true,"response":{"time":1740661453}}
2025-02-27 16:04:13,290 - INFO - Запрос 29: {'lead_id': '31360735'}
2025-02-27 16:04:13,291 - INFO - Ответ 29: 200 {"status":true,"response":{"time":1740661453}}
2025-02-27 16:04:13,562 - INFO - Запрос 30: {'lead_id': '31360669'}
2025-02-27 16:04:13,562 - INFO - Ответ 30: 200 {"status":true,"response":{"time":1740661453}}
2025-02-27 16:04:13,831 - INFO - Запрос 31: {'lead_id': '31360215'}
2025-02-27 16:04:13,832 - INFO - Ответ 31: 200 {"status":true,"response":{"time":1740661453}}
2025-02-27 16:04:14,325 - INFO - Запрос 32: {'lead_id': '31360211'}
2025-02-27 16:04:14,325 - INFO - Ответ 32: 200 {"status":true,"response":{"time":1740661454}}
2025-02-27 16:04:14,594 - INFO - Запрос 33: {'lead_id': '31360195'}
2025-02-27 16:04:14,594 - INFO - Ответ 33: 200 {"status":true,"response":{"time":1740661454}}
2025-02-27 16:04:14,861 - INFO - Запрос 34: {'lead_id': '31360187'}
2025-02-27 16:04:14,861 - INFO - Ответ 34: 200 {"status":true,"response":{"time":1740661454}}
2025-02-27 16:04:15,129 - INFO - Запрос 35: {'lead_id': '31360177'}
2025-02-27 16:04:15,129 - INFO - Ответ 35: 200 {"status":true,"response":{"time":1740661455}}
2025-02-27 16:04:15,394 - INFO - Запрос 36: {'lead_id': '31360085'}
2025-02-27 16:04:15,394 - INFO - Ответ 36: 200 {"status":true,"response":{"time":1740661455}}
2025-02-27 16:04:15,665 - INFO - Запрос 37: {'lead_id': '31360083'}
2025-02-27 16:04:15,666 - INFO - Ответ 37: 200 {"status":true,"response":{"time":1740661455}}
2025-02-27 16:04:15,930 - INFO - Запрос 38: {'lead_id': '31359519'}
2025-02-27 16:04:15,930 - INFO - Ответ 38: 200 {"status":true,"response":{"time":1740661455}}
2025-02-27 16:04:16,192 - INFO - Запрос 39: {'lead_id': '31359501'}
2025-02-27 16:04:16,192 - INFO - Ответ 39: 200 {"status":true,"response":{"time":1740661456}}
2025-02-27 16:04:16,469 - INFO - Запрос 40: {'lead_id': '31359495'}
2025-02-27 16:04:16,470 - INFO - Ответ 40: 200 {"status":true,"response":{"time":1740661456}}
2025-02-27 16:04:16,739 - INFO - Запрос 41: {'lead_id': '31359473'}
2025-02-27 16:04:16,739 - INFO - Ответ 41: 200 {"status":true,"response":{"time":1740661456}}
2025-02-27 16:04:17,011 - INFO - Запрос 42: {'lead_id': '31359457'}
2025-02-27 16:04:17,012 - INFO - Ответ 42: 200 {"status":true,"response":{"time":1740661457}}
2025-02-27 16:04:17,278 - INFO - Запрос 43: {'lead_id': '31359455'}
2025-02-27 16:04:17,278 - INFO - Ответ 43: 200 {"status":true,"response":{"time":1740661457}}
2025-02-27 16:04:17,546 - INFO - Запрос 44: {'lead_id': '31359441'}
2025-02-27 16:04:17,546 - INFO - Ответ 44: 200 {"status":true,"response":{"time":1740661457}}
2025-02-27 16:04:17,823 - INFO - Запрос 45: {'lead_id': '31359429'}
2025-02-27 16:04:17,823 - INFO - Ответ 45: 200 {"status":true,"response":{"time":1740661457}}
